J,nj,cluster_a,cluster_y,cluster_m,estimator,effname,abs.performance,abs.value_mean,abs.value_min,abs.value_max
20,10,FE,FE,FE,multi,"IDE(,gmjo(0))",sqrtMSE,0.3416801644503168,0.312857067404502,0.3665913144561286
20,10,FE,FE,FE,multi,"IDE(,gmjo(0))",|Bias|,0.07127247645493086,0.05049989988135747,0.09024756726868376
20,10,FE,FE,FE,multi,"IDE(,gmjo(0))",|Rel.Bias|,0.26494442279448494,0.18658652253384247,0.3370706096391616
20,10,FE,FE,FE,multi,"IIE_M1(1,,gm2(0))",sqrtMSE,0.04389719990376054,0.04171932388033747,0.047403089620169016
20,10,FE,FE,FE,multi,"IIE_M1(1,,gm2(0))",|Bias|,0.012294937281591034,0.010150095562953087,0.013683771886200347
20,10,FE,FE,FE,multi,"IIE_M1(1,,gm2(0))",|Rel.Bias|,0.493729592563837,0.4267635476031454,0.5749100375726511
20,10,FE,FE,FE,multi,"IIE_M2(1,gm1(1),)",sqrtMSE,0.05904272953203621,0.05750688479373649,0.06032000805593027
20,10,FE,FE,FE,multi,"IIE_M2(1,gm1(1),)",|Bias|,0.024142395017797073,0.02167063962723253,0.02709349683520921
20,10,FE,FE,FE,multi,"IIE_M2(1,gm1(1),)",|Rel.Bias|,0.6446164356806017,0.6033549809909621,0.7000081622709879
20,10,FE,FE,FE,multi,IIE_Mdep,sqrtMSE,0.00994503324220471,0.00875550708360642,0.011943555508196342
20,10,FE,FE,FE,multi,IIE_Mdep,|Bias|,0.005855361454063401,0.0052521102013437125,0.006794849701095132
20,10,FE,FE,FE,multi,IIE_Mdep,|Rel.Bias|,1.0212960341243893,0.9932271338740004,1.0564978297413914
20,10,FE,FE,FE,multi,"IIE_Mjo(1,)",sqrtMSE,0.08149648383779151,0.07920110390512222,0.08286140113567086
20,10,FE,FE,FE,multi,"IIE_Mjo(1,)",|Bias|,0.04229269375345151,0.03770415519034469,0.0459524925829968
20,10,FE,FE,FE,multi,"IIE_Mjo(1,)",|Rel.Bias|,0.6209671463313283,0.5823492253045307,0.6444889668424322
20,10,FE,FE,FE,multi,"Y(0,gmjo(0))",sqrtMSE,0.3206899822594151,0.30944627667045205,0.33302666904424144
20,10,FE,FE,FE,multi,"Y(0,gmjo(0))",|Bias|,0.06545517686088553,0.05050047265949315,0.08729983421077314
20,10,FE,FE,FE,multi,"Y(0,gmjo(0))",|Rel.Bias|,0.05135561707872521,0.03966607313049634,0.06854245720934449
20,10,FE,FE,FE,multi,"Y(1,gm1(0),gm2(0))",sqrtMSE,0.31324793077875435,0.2866259454270195,0.33686806298402416
20,10,FE,FE,FE,multi,"Y(1,gm1(0),gm2(0))",|Bias|,0.004837592586786367,6.89171884244092e-4,0.010567754172860527
20,10,FE,FE,FE,multi,"Y(1,gm1(0),gm2(0))",|Rel.Bias|,0.0031426978795866464,4.478574645188024e-4,0.006859213891109539
20,10,FE,FE,FE,multi,"Y(1,gm1(1),gm2(0))",sqrtMSE,0.3163320793910456,0.2897685196120545,0.3401627390504879
20,10,FE,FE,FE,multi,"Y(1,gm1(1),gm2(0))",|Bias|,0.012741221781234867,0.004800752750793581,0.02263190021955299
20,10,FE,FE,FE,multi,"Y(1,gm1(1),gm2(0))",|Rel.Bias|,0.008145302781671103,0.003072884258501075,0.014445478767832778
20,10,FE,FE,FE,multi,"Y(1,gm1(1),gm2(1))",sqrtMSE,0.3192420139489976,0.2943925040770226,0.3418016102469292
20,10,FE,FE,FE,multi,"Y(1,gm1(1),gm2(1))",|Bias|,0.03688361679903199,0.026588556980052157,0.04972539705476222
20,10,FE,FE,FE,multi,"Y(1,gm1(1),gm2(1))",|Rel.Bias|,0.023032148020420872,0.016644366769643863,0.03097352356194707
20,10,FE,FE,FE,multi,"Y(1,gmjo(0))",sqrtMSE,0.3132626149351014,0.2862799465869874,0.3372098554974813
20,10,FE,FE,FE,multi,"Y(1,gmjo(0))",|Bias|,0.005817585983113145,5.727781355735458e-7,0.016603943665675112
20,10,FE,FE,FE,multi,"Y(1,gmjo(0))",|Rel.Bias|,0.003764285842270663,3.7102037561177334e-7,0.01073593372032947
20,10,FE,FE,FE,multi,"Y(1,gmjo(1))",sqrtMSE,0.3206923856586265,0.2957032701636207,0.34325248532650987
20,10,FE,FE,FE,multi,"Y(1,gmjo(1))",|Bias|,0.04810999334749682,0.037703582412209086,0.06255643624867185
20,10,FE,FE,FE,multi,"Y(1,gmjo(1))",|Rel.Bias|,0.029833929036297342,0.02343968080974005,0.03866574943710916
20,10,FE,FE,FE,reg,"IDE(,gmjo(0))",sqrtMSE,0.32183133685274956,0.3071652038279818,0.33863507437497636
20,10,FE,FE,FE,reg,"IDE(,gmjo(0))",|Bias|,0.07269592480937657,0.07154869213201648,0.07479340998715013
20,10,FE,FE,FE,reg,"IDE(,gmjo(0))",|Rel.Bias|,0.26998959029104086,0.264277629945714,0.27922835816355085
20,10,FE,FE,FE,reg,"IIE_M1(1,,gm2(0))",sqrtMSE,0.034484679182191634,0.03299522019193538,0.03556280288614467
20,10,FE,FE,FE,reg,"IIE_M1(1,,gm2(0))",|Bias|,0.012407567422556626,0.010546219574117367,0.014041616680373263
20,10,FE,FE,FE,reg,"IIE_M1(1,,gm2(0))",|Rel.Bias|,0.4967827795123817,0.44337256828674493,0.5392372159608723
20,10,FE,FE,FE,reg,"IIE_M2(1,gm1(1),)",sqrtMSE,0.04710979171565534,0.046183622630742556,0.04816455283717083
20,10,FE,FE,FE,reg,"IIE_M2(1,gm1(1),)",|Bias|,0.024301174707698756,0.022728773998668874,0.02589909546939292
20,10,FE,FE,FE,reg,"IIE_M2(1,gm1(1),)",|Rel.Bias|,0.6500647773392352,0.6425320761174199,0.657951598061674
20,10,FE,FE,FE,reg,IIE_Mdep,sqrtMSE,0.0057398672050939055,0.004979663222688888,0.006571188620516831
20,10,FE,FE,FE,reg,IIE_Mdep,|Bias|,0.005739867205093906,0.004979663222688888,0.006571188620516831
20,10,FE,FE,FE,reg,IIE_Mdep,|Rel.Bias|,0.9999999999999999,0.9999999999999993,1.0000000000000004
20,10,FE,FE,FE,reg,"IIE_Mjo(1,)",sqrtMSE,0.06868668870081963,0.06568107168931757,0.0716264612611428
20,10,FE,FE,FE,reg,"IIE_Mjo(1,)",|Bias|,0.04244860933534928,0.0390653225217205,0.04555900017800182
20,10,FE,FE,FE,reg,"IIE_Mjo(1,)",|Rel.Bias|,0.6233612692276,0.6037599142219401,0.6386351718859218
20,10,FE,FE,FE,reg,"Y(0,gmjo(0))",sqrtMSE,0.3084556237399461,0.28673689104601763,0.3231248294108813
20,10,FE,FE,FE,reg,"Y(0,gmjo(0))",|Bias|,0.068816622630594515,0.06477626014266724,0.07151410546741081
20,10,FE,FE,FE,reg,"Y(0,gmjo(0))",|Rel.Bias|,0.053991338213686076,0.05079171264076926,0.056105163942924814
20,10,FE,FE,FE,reg,"Y(1,gm1(0),gm2(0))",sqrtMSE,0.30025170395166306,0.28380646683136174,0.3207552207899093
20,10,FE,FE,FE,reg,"Y(1,gm1(0),gm2(0))",|Bias|,0.0030595793969191844,0.001224415568073181,0.00491355505425153
20,10,FE,FE,FE,reg,"Y(1,gm1(0),gm2(0))",|Rel.Bias|,0.001986632394205758,7.90907580644934e-4,0.003190638244953324
20,10,FE,FE,FE,reg,"Y(1,gm1(1),gm2(0))",sqrtMSE,0.30317023080381894,0.2869477979283476,0.3233770645246743
20,10,FE,FE,FE,reg,"Y(1,gm1(1),gm2(0))",|Bias|,0.010850305942086745,0.007011272607443019,0.014342021342114382
20,10,FE,FE,FE,reg,"Y(1,gm1(1),gm2(0))",|Rel.Bias|,0.006937151906106557,0.00448108605495092,0.009167132014370494
20,10,FE,FE,FE,reg,"Y(1,gm1(1),gm2(1))",sqrtMSE,0.3071322450427172,0.2914461575839454,0.32699119134925825
20,10,FE,FE,FE,reg,"Y(1,gm1(1),gm2(1))",|Bias|,0.035151480649785544,0.030097755471318953,0.039832367840971696
20,10,FE,FE,FE,reg,"Y(1,gm1(1),gm2(1))",|Rel.Bias|,0.02195521497718236,0.018806842378711976,0.024852800851059217
20,10,FE,FE,FE,reg,"Y(1,gmjo(0))",sqrtMSE,0.3002749194304435,0.2837765658485156,0.32082945030239535
20,10,FE,FE,FE,reg,"Y(1,gmjo(0))",|Bias|,0.0038793021787821044,3.458666460566688e-5,0.007152873249176204
20,10,FE,FE,FE,reg,"Y(1,gmjo(0))",|Rel.Bias|,0.0025085910841446545,2.1214418034286814e-5,0.004628568060070447
20,10,FE,FE,FE,reg,"Y(1,gmjo(1))",sqrtMSE,0.30863590644865435,0.2930293586054377,0.3283646559845982
20,10,FE,FE,FE,reg,"Y(1,gmjo(1))",|Bias|,0.046327911514131355,0.04002556041286513,0.05233201414259151
20,10,FE,FE,FE,reg,"Y(1,gmjo(1))",|Rel.Bias|,0.028734671783224627,0.024856415984591533,0.03240034340222069
20,10,FE,FE,FE,rmpw,"IDE(,gmjo(0))",sqrtMSE,0.4306956239169464,0.32312782740304336,0.5468783582573746
20,10,FE,FE,FE,rmpw,"IDE(,gmjo(0))",|Bias|,0.3081276973555822,0.19087696628079084,0.4335372649308199
20,10,FE,FE,FE,rmpw,"IDE(,gmjo(0))",|Rel.Bias|,1.1427199186450991,0.7127673870755379,1.6014472558958395
20,10,FE,FE,FE,rmpw,"IIE_M1(1,,gm2(0))",sqrtMSE,0.06218515131867264,0.05595593789888626,0.07048502305504277
20,10,FE,FE,FE,rmpw,"IIE_M1(1,,gm2(0))",|Bias|,0.0029924959246124243,0.0011160312200305176,0.004279721598183755
20,10,FE,FE,FE,rmpw,"IIE_M1(1,,gm2(0))",|Rel.Bias|,0.11982273571045116,0.04690660433538407,0.17991329269938094
20,10,FE,FE,FE,rmpw,"IIE_M2(1,gm1(1),)",sqrtMSE,0.0781713536860977,0.07005759145254772,0.08558823921404099
20,10,FE,FE,FE,rmpw,"IIE_M2(1,gm1(1),)",|Bias|,0.009691039404887192,0.007655433850301956,0.01331146252329021
