J,nj,Estimator,cluster_a,cluster_m,cluster_y,abs.value_mean_|Rel.Bias|,abs.value_min_|Rel.Bias|,abs.value_max_|Rel.Bias|,abs.value_mean_RMSE,abs.value_min_RMSE,abs.value_max_RMSE,A_fit,M_fit,Y_fit,A_mod,M_mod,Y_mod,estimator,abs.value_mean_|Bias|,abs.value_min_|Bias|,abs.value_max_|Bias|
20,10,multiply-robust,FE,FE,FE,0.01987899677316197,3.7102037561177334e-7,0.06854245720934449,0.3172445011619901,0.2862799465869874,0.34325248532650987,aFE,mFE,yFE,aCluster,mCluster,yCluster,multi,0.028974197893091455,5.727781355735458e-7,0.08729983421077314
20,10,multiply-robust,FE,FE,RE,0.018121498116917198,1.6256783846270873e-4,0.049777011925637576,0.3078251752613629,0.2733745300053772,0.3357279299760724,aFE,mFE,yRE,aCluster,mCluster,yCluster,multi,0.026262298526257364,2.614748339987427e-4,0.06336941827452425
20,10,multiply-robust,FE,FE,SL,0.03187921700301304,0.003911481215738493,0.0601751101538209,0.33750226261747635,0.3078729791914429,0.37909096113355,aFE,mFE,ySL,aCluster,mCluster,ySL,multi,0.04933670183905835,0.004996844586961758,0.0928553958240609
20,10,multiply-robust,FE,RE,FE,0.018378173974203875,4.191622292924294e-4,0.06180880942460008,0.31161252578837006,0.27381227052400803,0.3408416781150655,aFE,mRE,yFE,aCluster,mCluster,yCluster,multi,0.0263543269670176,6.446099481224822e-4,0.07886575358865183
20,10,multiply-robust,FE,RE,RE,0.014606215605212065,1.0824050739067694e-4,0.045322151393365116,0.3165402158851273,0.28827713689631396,0.34772473115265773,aFE,mRE,yRE,aCluster,mCluster,yCluster,multi,0.020985874686496563,1.6927443173162418e-4,0.05783040557510506
20,10,multiply-robust,FE,RE,SL,0.02949807650087977,0.0067503795187251695,0.04994406529371294,0.3416965516928496,0.2971622418820731,0.3904804413644953,aFE,mRE,ySL,aCluster,mCluster,ySL,multi,0.04573847594394177,0.008595856696949095,0.07700667225168727
20,10,multiply-robust,FE,SL,FE,0.016837949159724634,5.980163488769461e-4,0.05627078299436932,0.3122461148553238,0.282527543324277,0.3480276855498453,aFE,mSL,yFE,aCluster,mSL,yCluster,multi,0.024108140258031163,9.183846707922431e-4,0.0719248414799764
20,10,multiply-robust,FE,SL,RE,0.010122122513344099,3.0573605472409025e-4,0.03801890638242223,0.31587228805317874,0.28852061766692527,0.3441494113761127,aFE,mSL,yRE,aCluster,mSL,yCluster,multi,0.014479397645439296,4.776241930197933e-4,0.04854335829442272
20,10,multiply-robust,FE,SL,SL,0.023264681503804376,3.077970796357019e-4,0.056791348595530915,0.3489246758863041,0.3093955943020236,0.3919928133945414,aFE,mSL,ySL,aCluster,mSL,ySL,multi,0.0362629092479053,4.516734546503642e-4,0.09095435053623466
20,10,multiply-robust,RE,FE,FE,0.021019157486807057,7.510464967079866e-5,0.07046084350205106,0.30743438228940106,0.2829234497166232,0.3336330629603414,aRE,mFE,yFE,aCluster,mCluster,yCluster,multi,0.030365194105403392,1.1606707029964696e-4,0.08981454464623673
20,10,multiply-robust,RE,FE,RE,0.016276806034063784,0.002730168154039474,0.038733701536280286,0.3066369156186494,0.2759690331556112,0.33128209393116453,aRE,mFE,yRE,aCluster,mCluster,yCluster,multi,0.023860834414078054,0.0043773946077933406,0.0494901705620469
20,10,multiply-robust,RE,FE,SL,0.05278786890489556,0.021535232381193724,0.07736309639717824,0.3340053621016875,0.2909377855365373,0.36525554335449256,aRE,mFE,ySL,aCluster,mCluster,ySL,multi,0.08142451343879158,0.027476357656872424,0.11873217967148986
20,10,multiply-robust,RE,RE,FE,0.01860647292894204,4.5107964614505603e-4,0.058782247734337385,0.3097579939227841,0.2814346322460257,0.3510181618768709,aRE,mRE,yFE,aCluster,mCluster,yCluster,multi,0.026752620200284807,6.958246189808085e-4,0.07502785204313242
20,10,multiply-robust,RE,RE,RE,0.011625909454387922,5.617887898798182e-4,0.030596171991448554,0.30509491882415685,0.28342148032692005,0.3283292393941243,aRE,mRE,yRE,aCluster,mCluster,yCluster,multi,0.016928897833462683,8.990059841262651e-4,0.03902231235732255
20,10,multiply-robust,RE,RE,SL,0.05355526317063686,0.02977158335798298,0.07202996209120999,0.3382913855563192,0.29306075058468456,0.3795547035811785,aRE,mRE,ySL,aCluster,mCluster,ySL,multi,0.08215129413003733,0.03792636018542984,0.11064485023478192
20,10,multiply-robust,RE,SL,FE,0.012769154738268932,1.9810810166460968e-4,0.06061082910026213,0.3113085477508257,0.27765116654540206,0.35058979095062665,aRE,mSL,yFE,aCluster,mSL,yCluster,multi,0.017630866638373422,3.173522650440454e-4,0.07724372800643908
20,10,multiply-robust,RE,SL,RE,0.009267529604523872,3.820978786721988e-4,0.022919150509214534,0.3112337464663904,0.2828971614454505,0.3380758836033524,aRE,mSL,yRE,aCluster,mSL,yCluster,multi,0.013787578010935886,5.96336558092997e-4,0.029243392140406676
20,10,multiply-robust,RE,SL,SL,0.04947992718816759,0.008703230948567658,0.08526407184378347,0.34534054108079676,0.2849417798314814,0.40634674447761704,aRE,mSL,ySL,aCluster,mSL,ySL,multi,0.07592414424591572,0.01342445132767415,0.13644908880494253
20,10,multiply-robust,SL,FE,FE,0.018840441888840445,2.0117538228923968e-4,0.06144514664506951,0.3075749210359858,0.2747488433663559,0.3314020785580739,aSL,mFE,yFE,aSL,mCluster,yCluster,multi,0.02741954779469354,3.08987561096369e-4,0.07838957740622561
20,10,multiply-robust,SL,FE,RE,0.019296762272181085,7.567415324454403e-4,0.039482404963016526,0.30263179648407307,0.2683405706362858,0.3306152891618145,aSL,mFE,yRE,aSL,mCluster,yCluster,multi,0.02894269001257211,0.0012109639904874477,0.060591539955958854
20,10,multiply-robust,SL,FE,SL,0.11214756920509879,0.08571184461223337,0.135573468914457,0.37267554618327353,0.3168972993843661,0.41312428802986434,aSL,mFE,ySL,aSL,mCluster,ySL,multi,0.17153639540329213,0.10929195841833272,0.20841975853212955
20,10,multiply-robust,SL,RE,FE,0.016550545210868912,0.001052558596462784,0.05955082391325658,0.30639967077076435,0.2756095092600147,0.33473405931081807,aSL,mRE,yFE,aSL,mCluster,yCluster,multi,0.023658548906215902,0.0016168916015747168,0.07616873659050734
20,10,multiply-robust,SL,RE,RE,0.017314945340068374,3.8662417455077815e-4,0.030571416719539224,0.30075122305462493,0.2704867266936823,0.3364192547049531,aSL,mRE,yRE,aSL,mCluster,yCluster,multi,0.026488168725540873,6.249577192401058e-4,0.0477569068741134
20,10,multiply-robust,SL,RE,SL,0.11009239162461108,0.09499790752500872,0.12639285708772935,0.36970006349085166,0.3289846432942552,0.39776507664249494,aSL,mRE,ySL,aSL,mCluster,ySL,multi,0.16753384511402727,0.134820653556075,0.20235940218729662
20,10,multiply-robust,SL,SL,FE,0.014418031118556109,6.813026855850968e-4,0.04158156042339634,0.3103237078621245,0.2806164884026503,0.3550548886970199,aSL,mSL,yFE,aSL,mSL,yCluster,multi,0.020796153719513353,0.0010628811898109095,0.05288987271259728
20,10,multiply-robust,SL,SL,RE,0.019434621281761502,0.0033583036782302363,0.0430745609173819,0.3026864161375747,0.26379726427735817,0.3404483727824224,aSL,mSL,yRE,aSL,mSL,yCluster,multi,0.030062463115136093,0.004280173767439944,0.06901974240990764
20,10,multiply-robust,SL,SL,SL,0.11322598725429305,0.03527546944294841,0.19805171730309623,0.3835713148662066,0.28068677301546174,0.4732145465741642,aSL,mSL,ySL,aSL,mSL,ySL,multi,0.17086287756996735,0.054350846469262595,0.28539810504242946
20,20,multiply-robust,FE,FE,FE,0.01953967531274171,0.0012356414381961116,0.05274557671439344,0.2818793596408313,0.2463528054472703,0.31068808130141445,aFE,mFE,yFE,aCluster,mCluster,yCluster,multi,0.02847687224131686,0.001930996511215493,0.06724897997663727
20,20,multiply-robust,FE,FE,RE,0.01802184892305274,0.0021238751097232816,0.0565146653635277,0.2756667158317417,0.24744310110022474,0.30574509762559204,aFE,mFE,yRE,aCluster,mCluster,yCluster,multi,0.025775954275922476,0.0033281092276507725,0.07218667552093874
20,20,multiply-robust,FE,FE,SL,0.023824652484931264,1.8204568021079823e-4,0.04986749969448613,0.3028829083845331,0.2725597336435046,0.3375360084860509,aFE,mFE,ySL,aCluster,mCluster,ySL,multi,0.03622195069905945,2.937645994814582e-4,0.07687276096086293
20,20,multiply-robust,FE,RE,FE,0.018896518369963086,8.803878830925331e-4,0.0647757203089358,0.28235784836596173,0.25316231347485296,0.31426486068768056,aFE,mRE,yFE,aCluster,mCluster,yCluster,multi,0.02686020835641978,0.0013553674719186382,0.082641367383779
20,20,multiply-robust,FE,RE,RE,0.017937731350127575,9.103134593445242e-4,0.06272815017692829,0.2824121183296327,0.24929295431246068,0.31446573084345025,aFE,mRE,yRE,aCluster,mCluster,yCluster,multi,0.02559694802406357,0.0014215671756242013,0.08009109629604368
20,20,multiply-robust,FE,RE,SL,0.02566420475102475,2.7356676639567657e-4,0.04707330261783636,0.2989309235580519,0.25340238686074923,0.334077601250657,aFE,mRE,ySL,aCluster,mCluster,ySL,multi,0.03908953276360022,4.383476826713044e-4,0.07232182024907333
20,20,multiply-robust,FE,SL,FE,0.019344685992702348,9.431944831298355e-4,0.05818772367285823,0.28314850382195783,0.2546460594458163,0.3194818733068194,aFE,mSL,yFE,aCluster,mSL,yCluster,multi,0.027996240732258836,0.0014787073967689073,0.07410748158336136
20,20,multiply-robust,FE,SL,RE,0.015730132280127762,7.906732544430471e-4,0.052489588835048014,0.28147021067843964,0.24594200511541578,0.3117740767535847,aFE,mSL,yRE,aCluster,mSL,yCluster,multi,0.022439877356580592,0.0012181709260785673,0.06692626935762624
20,20,multiply-robust,FE,SL,SL,0.017176670618939165,4.46360379131825e-4,0.039224932615810185,0.30487137924032015,0.26597939631015316,0.35426588385736923,aFE,mSL,ySL,aCluster,mSL,ySL,multi,0.026419384721784248,6.902964951858442e-4,0.06276456682823578
20,20,multiply-robust,RE,FE,FE,0.01973088690100411,8.592480157419147e-4,0.05509905068523497,0.2844576131396157,0.2556271439859379,0.3141941517820685,aRE,mFE,yFE,aCluster,mCluster,yCluster,multi,0.02872702483552301,0.0013253824761001811,0.07017153003252129
20,20,multiply-robust,RE,FE,RE,0.017828062563904748,0.0015494652038588446,0.0583500268282606,0.2777795446912792,0.24671930937561923,0.302271817012061,aRE,mFE,yRE,aCluster,mCluster,yCluster,multi,0.025641530060032808,0.0023963958572108144,0.07440992449931208
20,20,multiply-robust,RE,FE,SL,0.03433519731669424,0.001180087239405351,0.061962208830854903,0.2913664491055747,0.24964826856844546,0.33397132742291213,aRE,mFE,ySL,aCluster,mCluster,ySL,multi,0.05330024447732173,0.0015026994333989657,0.09545869090169387
20,20,multiply-robust,RE,RE,FE,0.018015616806861555,7.681168098194776e-5,0.06301595918196386,0.27774538529534676,0.24255890998775956,0.31401115351790765,aRE,mRE,yFE,aCluster,mCluster,yCluster,multi,0.025628676191742864,1.2000962505213471e-4,0.08029768736437795
20,20,multiply-robust,RE,RE,RE,0.017373362790538187,0.0015034880502656043,0.055768397883814706,0.2818321565619345,0.24835926381450754,0.3146116191682463,aRE,mRE,yRE,aCluster,mCluster,yCluster,multi,0.024834480288120835,0.0024058559613071937,0.07095695196660196
20,20,multiply-robust,RE,RE,SL,0.036165213195198026,0.008543260917845437,0.060240270350313485,0.3006566490109424,0.2644614145727407,0.3323739465874403,aRE,mRE,ySL,aCluster,mCluster,ySL,multi,0.056025583178513805,0.010893498148077775,0.09241531910396236
20,20,multiply-robust,RE,SL,FE,0.014517506909783305,3.969946415779174e-5,0.04989003553020492,0.27972510125441646,0.2458110808650648,0.30854193659470214,aRE,mSL,yFE,aCluster,mSL,yCluster,multi,0.02060761331745813,6.098932097599967e-5,0.06369597354688371
20,20,multiply-robust,RE,SL,RE,0.011077820169242258,1.2041269542779041e-4,0.04810935052451258,0.27656274815035076,0.24181956152533451,0.3065761544399165,aRE,mSL,yRE,aCluster,mSL,yCluster,multi,0.01533516008005679,1.859547130320196e-4,0.06111076724852822
20,20,multiply-robust,RE,SL,SL,0.028566686066318576,0.002371297557995084,0.056089926559177515,0.3053323896659662,0.2539549166942148,0.35988251340889144,aRE,mSL,ySL,aCluster,mSL,ySL,multi,0.04399090746350266,0.003641519178176538,0.08991581542600949
20,20,multiply-robust,SL,FE,FE,0.019090134055198292,1.6920316981834958e-4,0.05975013880179137,0.27517370331722696,0.2470785901959141,0.31822553428334055,aSL,mFE,yFE,aSL,mCluster,yCluster,multi,0.02746804197055459,2.6083584196858313e-4,0.07602794754561028
20,20,multiply-robust,SL,FE,RE,0.0175880087105148,2.7020467437383294e-4,0.04618927407055781,0.27139972359255676,0.2436176763544224,0.2974387524085567,aSL,mFE,yRE,aSL,mCluster,yCluster,multi,0.025453239577080386,4.336968296453785e-4,0.05909480353799035
20,20,multiply-robust,SL,FE,SL,0.10638592025170025,0.07243444104939098,0.1298540593484615,0.3352672607312614,0.2885786999431346,0.3742269068029046,aSL,mFE,ySL,aSL,mCluster,ySL,multi,0.16277010021820731,0.092525790526985,0.20036707938863388
20,20,multiply-robust,SL,RE,FE,0.015018967888171725,8.449381626824963e-4,0.057422214281479714,0.2762788312459407,0.2462712815657322,0.3112110887654798,aSL,mRE,yFE,aSL,mCluster,yCluster,multi,0.021208694076917185,0.0013080006859571343,0.07333900297688256
20,20,multiply-robust,SL,RE,RE,0.016086136086710136,5.984857550919886e-4,0.03939391622387629,0.276583953420851,0.24680246081077029,0.3119464088629079,aSL,mRE,yRE,aSL,mCluster,yCluster,multi,0.023496097714170428,9.354442615576447e-4,0.05023128047249653
20,20,multiply-robust,SL,RE,SL,0.11063847172942896,0.0851768369930297,0.1287621797545652,0.3399194192444804,0.3062090905095195,0.3730293171224364,aSL,mRE,ySL,aSL,mCluster,ySL,multi,0.16886872453021246,0.10877257833342446,0.19799273206704088
